央视频道,#genre#
吉林卫视,http://39.134.240.3/PLTV/2/224/3221226072/index.m3u8
江苏卫视,http://39.134.240.3/PLTV/2/224/3221225888/index.m3u8
江西卫视,http://39.134.240.3/PLTV/2/224/3221225972/index.m3u8
辽宁卫视,http://39.134.240.3/PLTV/2/224/3221225980/index.m3u8
南方卫视,http://39.134.240.3/PLTV/2/224/3221226082/index.m3u8
内蒙古卫视,http://39.134.240.3/PLTV/2/224/3221226074/index.m3u8
宁夏卫视,http://39.134.240.3/PLTV/2/224/3221226076/index.m3u8
青海卫视,http://39.134.240.3/PLTV/2/224/3221226080/index.m3u8
山东卫视,http://39.134.240.3/PLTV/2/224/3221225894/index.m3u8
山西卫视,http://39.134.240.3/PLTV/2/224/3221225775/index.m3u8
陕西卫视,http://39.134.240.3/PLTV/2/224/3221225984/index.m3u8
四川卫视,http://39.134.240.3/PLTV/2/224/3221225982/index.m3u8
天津卫视,http://39.134.240.3/PLTV/2/224/3221225898/index.m3u8
西Z卫视,http://39.134.240.3/PLTV/2/224/3221225777/index.m3u8
新疆卫视,http://39.134.240.3/PLTV/2/224/3221226078/index.m3u8
云南卫视,http://39.134.240.3/PLTV/2/224/3221225986/index.m3u8
浙江卫视,http://39.134.240.3/PLTV/2/224/3221225781/index.m3u8
重庆卫视,http://39.134.240.3/PLTV/2/224/3221225966/index.m3u8
北京卫视,http://183.215.102.57:8089/180000001001/00000001000000000008000000047443/main.m3u8
天津卫视,http://183.215.102.57:8089/180000001001/00000001000000000008000000047444/main.m3u8
江苏卫视,http://183.215.102.57:8089/180000001001/00000001000000000007000000001244/main.m3u8
浙江卫视,http://183.215.102.57:8089/180000001001/00000000000000020000000000182563/main.m3u8
东方卫视,http://183.215.102.57:8089/180000001001/00000001000000000008000000047445/main.m3u8
深圳卫视,http://183.215.102.57:8089/180000001001/00000001000000000008000000047446/main.m3u8
山东卫视,http://183.215.102.57:8089/180000001001/00000001000000000008000000047448/main.m3u8
湖北卫视,http://183.215.102.57:8089/180000001001/00000001000000000008000000047447/main.m3u8
黑龙江卫视,http://183.215.102.57:8089/180000001001/00000001000000000008000000047449/main.m3u8
广东卫视,http://183.215.102.57:8089/180000001001/00000001000000000010000000040391/main.m3u8
贵州卫视,http://183.215.102.57:8089/180000001001/00000001000000000010000000040424/main.m3u8
东南卫视,http://183.215.102.57:8089/180000001001/00000001000000000010000000040459/main.m3u8
河北卫视,http://183.215.102.57:8089/180000001001/00000001000000000016000000007223/main.m3u8
安徽卫视,http://183.215.102.57:8089/180000001001/00000001000000000016000000007224/main.m3u8
辽宁卫视,http://183.215.102.57:8089/180000001001/00000001000000000016000000007225/main.m3u8
厦门卫视,http://183.215.102.57:8089/180000001001/00000001000000000022000000381023/main.m3u8
江西卫视,http://183.215.102.57:8089/180000001001/00000000000000020000000000182287/main.m3u8
四川卫视,http://183.215.102.57:8089/180000001001/00000000000000020000000000182257/main.m3u8
重庆卫视,http://183.215.102.57:8089/180000001001/00000000000000020000000000182258/main.m3u8
吉林卫视,http://183.215.102.57:8089/180000001001/00000000000000020000000000182264/main.m3u8
山西卫视,http://183.215.102.57:8089/180000001001/00000000000000020000000000182271/main.m3u8
海南卫视,http://183.215.102.57:8089/180000001001/00000000000000020000000000181765/main.m3u8
青海卫视,http://183.215.102.57:8089/180000001001/00000000000000020000000000182317/main.m3u8
广西卫视,http://183.215.102.57:8089/180000001001/00000000000000020000000000182256/main.m3u8
河南卫视,http://183.215.102.57:8089/180000001001/00000000000000020000000000182260/main.m3u8
云南卫视,http://183.215.102.57:8089/180000001001/00000000000000020000000000182259/main.m3u8
陕西卫视,http://183.215.102.57:8089/180000001001/00000000000000020000000000182270/main.m3u8
宁夏卫视,http://183.215.102.57:8089/180000001001/00000000000000020000000000182273/main.m3u8
内蒙古卫视,http://183.215.102.57:8089/180000001001/00000000000000020000000000182272/main.m3u8
西臧卫视,http://183.215.102.57:8089/180000001001/00000000000000020000000000182274/main.m3u8
新疆卫视,http://183.215.102.57:8089/180000001001/00000000000000020000000000182275/main.m3u8
山东教育,http://183.215.102.57:8089/180000001001/00000001000000000016000000007227/main.m3u8
兵团卫视,http://183.215.102.57:8089/180000001001/00000001000000000022000000381024/main.m3u8
南方卫视,http://183.215.102.57:8089/180000001001/00000000000000020000000000182538/main.m3u8
先锋乒羽,http://183.215.102.57:8089/180000001001/00000000000000020000000000182319/main.m3u8
地方频道,#genre#
湖南都市[8M]1080HD,http://39.134.240.3/PLTV/2/224/3221226146/index.m3u8
湖南都市,http://183.215.102.57:8089/180000001001/00000001000000000007000000001249/main.m3u8
湖南经视[8M]1080HD,http://39.134.240.3/PLTV/2/224/3221226036/index.m3u8
湖南经视,http://183.215.102.57:8089/180000001001/00000001000000000002000000113182/main.m3u8
湖南经视720HD,http://39.134.240.3/PLTV/2/224/3221225884/index.m3u8
湖南电视剧[8M]1080HD,http://39.134.240.3/PLTV/2/224/3221226138/index.m3u8
湖南电视剧,http://183.215.102.57:8089/180000001001/00000001000000000007000000001245/main.m3u8
湖南电影[8M]1080HD,http://39.134.240.3/PLTV/2/224/3221226140/index.m3u8
湖南电影,http://183.215.102.57:8089/180000001001/00000001000000000007000000001246/main.m3u8
湖南娱乐[8M]1080HD,http://39.134.240.3/PLTV/2/224/3221226144/index.m3u8
湖南娱乐,http://183.215.102.57:8089/180000001001/00000001000000000007000000001248/main.m3u8
湖南公共[8M]1080HD,http://39.134.240.3/PLTV/2/224/3221226192/index.m3u8
湖南公共,http://183.215.102.57:8089/180000001001/00000001000000000008000000047425/main.m3u8
湖南国际[8M]1080HD,http://39.134.240.3/PLTV/2/224/3221226194/index.m3u8
湖南国际,http://183.215.102.57:8089/180000001001/00000001000000000008000000047426/main.m3u8
金鹰纪实,http://183.215.102.57:8089/180000001001/00000001000000000016000000007228/main.m3u8
湖南教育,http://183.215.102.57:8089/180000001001/00000001000000000023000000196697/main.m3u8
金鹰卡通[8M]1080HD,http://39.134.240.3/PLTV/2/224/3221226142/index.m3u8
金鹰卡通,http://183.215.102.57:8089/180000001001/00000001000000000007000000001247/main.m3u8
卡酷动画,http://183.215.102.57:8089/180000001001/00000000000000020000000000182277/main.m3u8
嘉佳卡通,http://183.215.102.57:8089/180000001001/00000001000000000022000000381025/main.m3u8
优漫卡通,http://183.215.102.57:8089/180000001001/00000000000000020000000000182321/main.m3u8
炫动卡通,http://183.215.102.57:8089/180000001001/00000000000000020000000000182497/main.m3u8
快乐垂钓[8M]1080HD,http://39.134.240.3/PLTV/2/224/3221226348/index.m3u8
长沙新闻频道[8M]1080HD,http://39.134.240.3/PLTV/2/224/3221226200/index.m3u8
长沙政法频道[8M]1080HD,http://39.134.240.3/PLTV/2/224/3221226202/index.m3u8
湖南电视剧,http://183.215.116.134:6610/180000001001/00000001000000000007000000001245/index.m3u8?
湖南电影,http://183.215.116.134:6610/180000001001/00000001000000000007000000001246/index.m3u8?
金鹰卡通,http://183.215.116.134:6610/180000001001/00000001000000000007000000001247/index.m3u8?
湖南娱乐,http://183.215.116.134:6610/180000001001/00000001000000000007000000001248/index.m3u8?
湖南都市,http://183.215.116.134:6610/180000001001/00000001000000000007000000001249/index.m3u8?
湖南公共,http://183.215.116.134:6610/180000001001/00000001000000000008000000047425/index.m3u8?
湖南国际,http://183.215.116.134:6610/180000001001/00000001000000000008000000047426/index.m3u8?
湖南快乐购,http://183.215.116.134:6610/180000001001/00000001000000000008000000047427/index.m3u8?
湖南经视,http://183.215.102.57:8089/180000001001/00000001000000000002000000113182/main.m3u8
湖南电视剧,http://183.215.102.57:8089/180000001001/00000001000000000007000000001245/main.m3u8
湖南电影,http://183.215.102.57:8089/180000001001/00000001000000000007000000001246/main.m3u8
湖南都市,http://183.215.102.57:8089/180000001001/00000001000000000007000000001249/main.m3u8
金鹰纪实,http://183.215.102.57:8089/180000001001/00000001000000000016000000007228/main.m3u8
湖南公共,http://183.215.102.57:8089/180000001001/00000001000000000008000000047425/main.m3u8
湖南娱乐,http://183.215.102.57:8089/180000001001/00000001000000000007000000001248/main.m3u8
金鹰卡通,http://183.215.102.57:8089/180000001001/00000001000000000007000000001247/main.m3u8
湖南国际,http://183.215.102.57:8089/180000001001/00000001000000000008000000047426/main.m3u8
湖南教育,http://183.215.102.57:8089/180000001001/00000001000000000023000000196697/main.m3u8
长沙新闻,http://183.215.116.134:6610/180000001001/00000001000000000008000000047429/index.m3u8?
长沙政法,http://183.215.116.134:6610/180000001001/00000001000000000008000000047430/index.m3u8?
永州新闻,http://stream.21ytv.com/xw/8twnQW67/live.m3u8
永州公共,http://stream.21ytv.com/gg/8twnQW67/live.m3u8
永兴综合,http://play-dgv-xhncloud.voc.com.cn/live/5243_xAptJZ.m3u8
浏阳新闻[8M]1080HD,http://39.134.240.3/PLTV/2/224/3221226092/index.m3u8湘潭县综合,http://21084.liveplay.myqcloud.com/live/21084_13241b8296ee11e892905cb9018cf0d4.m3u8
屈原综合,http://play-dgv-xhncloud.voc.com.cn/live/5243_f2E1iT.m3u8
云溪综合,http://liveplay.rednet.cn/live/yunxi_tv.m3u8
桂东综合,http://play-dgv-xhncloud.voc.com.cn/live/5243_V42Wbo.m3u8
